clf,imbl,dataset,precision,recall,specificity,fscore,gmean,mcc,balanced_acc,accuracy,std_precision,std_recall,std_specificity,std_fscore,std_gmean,std_mcc,std_balanced_acc,std_accuracy,time_exec
ExtraTree,ProWSyn,haberman_70,0.755435405,0.7645,0.823130435,0.756187828,0.790673111,0.590220233,0.793815217,0.799076923,0.076166608,0.099894674,0.067816456,0.069809445,0.059111411,0.114603477,0.057831036,0.054773921,26.82823207
ExtraTree,RandomOverSampler,haberman_70,0.749605576,0.76275,0.817826087,0.752262877,0.787171656,0.582810483,0.790288043,0.795230769,0.080179263,0.099722899,0.070780309,0.074288137,0.063377141,0.124662324,0.062489768,0.059788834,17.55011005
ExtraTree,RandomUnderSampler,haberman_70,0.707769799,0.7875,0.767478261,0.741662402,0.774425979,0.552658409,0.77748913,0.775692308,0.069039462,0.094187881,0.069545547,0.064721073,0.05635761,0.111939014,0.056222006,0.054390564,17.1203922
ExtraTree,SMOTE,haberman_70,0.754099308,0.751625,0.824,0.748429847,0.784074054,0.579985814,0.7878125,0.794307692,0.083140132,0.103105195,0.072861179,0.071131812,0.059656279,0.116820135,0.058160341,0.055487572,17.82509437
ExtraTree,Smote_tomek,haberman_70,0.744680004,0.7495,0.816,0.742492655,0.778947627,0.569017862,0.78275,0.788717949,0.070340876,0.10639956,0.064147919,0.068977908,0.057461041,0.108769125,0.05555192,0.050705665,24.68598549
ExtraTree,Tomek,haberman_70,0.730936531,0.74925,0.805043478,0.736579924,0.77404211,0.555453935,0.777146739,0.782153846,0.068437422,0.107752509,0.058562112,0.075087097,0.062938596,0.119700308,0.061306257,0.05597395,24.10162773
ExtraTree,kmeans_SMOTE,haberman_70,0.763784389,0.745625,0.834695652,0.750329501,0.786102387,0.586283169,0.790160326,0.798153846,0.078781667,0.101989217,0.065856941,0.07113765,0.059243523,0.115841834,0.057745096,0.054568715,40.2563678
ExtraTree,lvq_smote,haberman_70,0.758455916,0.75475,0.828695652,0.752984504,0.788382714,0.587116413,0.791722826,0.798358974,0.076469968,0.098746771,0.064934201,0.07116736,0.060068178,0.116144374,0.05856996,0.05527524,29.90044425
ExtraTree,polynom_fit_SMOTE,haberman_70,0.759171069,0.768875,0.824956522,0.759679782,0.793431243,0.597006724,0.796915761,0.801948718,0.078713382,0.11204319,0.072580136,0.074335036,0.062564304,0.120372614,0.061252035,0.056871941,18.16885338
ExtraTree,pure,haberman_70,0.768916839,0.7395,0.840869565,0.74955608,0.78571672,0.587658926,0.790184783,0.799282051,0.081607459,0.106032505,0.06612595,0.074895829,0.062625057,0.121310283,0.060613794,0.057204211,17.7516444
