clf,imbl,dataset,precision,recall,specificity,fscore,gmean,mcc,balanced_acc,accuracy,std_precision,std_recall,std_specificity,std_fscore,std_gmean,std_mcc,std_balanced_acc,std_accuracy,time_exec
Adaboost,ADASYN,sonar_10,0.8368,0.6679999999999999,0.9874545454545456,0.709578835978836,0.7661000227301809,0.7163604596294724,0.8277272727272728,0.9608333333333334,0.2172280593124965,0.3128769464280459,0.0202172842467644,0.2410508883241129,0.2347704597864285,0.2402384083791851,0.1540500034750379,0.030316223725007,104.5514978647232
Adaboost,AMSCO,sonar_10,0.8135666666666665,0.6769999999999999,0.984909090909091,0.7048952380952381,0.7712034764998462,0.7090388756515308,0.8309545454545455,0.9592500000000002,0.2265662026037658,0.3122925888674523,0.0201898416602801,0.2455618127559361,0.2351796934453451,0.2476690091635061,0.1547672877055538,0.0304895718237434,4040.298634910584
Adaboost,Borderline_smote,sonar_10,0.8130904761904763,0.654,0.9834545454545456,0.7054285714285714,0.7625535828778047,0.6939724639527123,0.8187272727272727,0.956,0.2057216274220373,0.2903412874738056,0.0205051938179583,0.2063289844204189,0.2118590465834005,0.2243306640163739,0.1439075366144285,0.0295762592711619,104.67831768989564
Adaboost,EditedNearestNeighbours,sonar_10,0.8290000000000001,0.62,0.9877272727272728,0.6770476190476191,0.7389497601612185,0.6847425292709947,0.8038636363636364,0.9570833333333332,0.2499812573871626,0.2829064256041761,0.0210817072194714,0.2482222600789095,0.2201890612230361,0.2536772625687754,0.1426660807674679,0.0326327443055822,76.06732120513917
Adaboost,Lee,sonar_10,0.8440000000000001,0.6639999999999999,0.9882727272727272,0.7119809523809524,0.7624873437722834,0.7192770397924859,0.8261363636363637,0.96125,0.2140446727451484,0.3131365484476176,0.0195105341395543,0.2442923641415476,0.2377792652385134,0.2436052663185415,0.1545182363419347,0.0311204734152068,231.04868340492249
Adaboost,NRAS,sonar_10,0.4845333333333333,0.343,0.9921818181818182,0.3927714285714286,0.4150084575046656,0.3854130159036958,0.6675909090909091,0.9380833333333334,0.4524064443307295,0.349721016365298,0.0161125212315139,0.360815194921532,0.387751787408814,0.3813106588178102,0.1744084594925558,0.032894668437696,88.74545016288758
Adaboost,NearMiss,sonar_10,0.181349152069121,0.851,0.5688181818181818,0.2887613150702665,0.6684267700586943,0.255452260308493,0.7099090909090908,0.5923333333333333,0.0751510953403065,0.2269138307204158,0.1444947085344249,0.0986958307379627,0.1294486124184464,0.1539042136476119,0.1230388278401697,0.1316983820808083,38.5421822309494
Adaboost,ProWSyn,sonar_10,0.8390666666666666,0.6689999999999999,0.9876363636363636,0.7101428571428572,0.7676248724140698,0.7172650991479937,0.8283181818181818,0.9610833333333334,0.2165591055121054,0.3116682001348057,0.0206852327309795,0.2409992161844056,0.2340268527196073,0.2395575857449294,0.1536249432401252,0.0304818728912196,100.47361726760865
Adaboost,RandomOverSampler,sonar_10,0.8642,0.624,0.9925454545454546,0.6974857142857143,0.7435195684276186,0.706156547616334,0.8082727272727274,0.9618333333333334,0.1960395391990085,0.2894256280093788,0.0133452142267985,0.2372067042931999,0.2227268299440787,0.2375970546206012,0.1441623030297178,0.0283639252170735,73.54857513904571
Adaboost,RandomUnderSampler,sonar_10,0.2273254165682958,0.78,0.7200909090909091,0.3454523759379023,0.7127281549618736,0.314692441565096,0.7500454545454545,0.7250833333333333,0.0628163964196243,0.2334952400737081,0.0671257165555076,0.0805964761884357,0.1384064424689789,0.1295843041883581,0.1051540083609452,0.0540202251784715,44.47666652202607
Adaboost,SMOTE,sonar_10,0.818,0.6599999999999999,0.9854545454545456,0.6920952380952381,0.76116799943928,0.6994802150695898,0.8227272727272726,0.9583333333333334,0.2597685837331261,0.3153180015796948,0.0237312565296142,0.224318340736134,0.2335177866263992,0.2241336349830338,0.1528768714948721,0.0262683033098283,100.03923344612122
Adaboost,Smote_tomek,sonar_10,0.7846666666666666,0.6599999999999999,0.9836363636363638,0.6794285714285715,0.7520876615287864,0.6846067962169269,0.8218181818181819,0.9566666666666668,0.2412394564953521,0.3283126608640243,0.0232743976114088,0.2404928850785357,0.2568478056206399,0.2382188871090912,0.1587554421638644,0.0272301737362627,103.09863889217377
Adaboost,Tomek,sonar_10,0.8713333333333333,0.62,0.9927272727272728,0.6974285714285715,0.7414151945872608,0.7071694954194452,0.8063636363636364,0.9616666666666668,0.2003932966828755,0.2829064256041761,0.0146863824113859,0.2316581261011994,0.2186952330172119,0.231240217319995,0.1409305017150248,0.0283723898096857,77.95325767993927
Adaboost,kmeans_SMOTE,sonar_10,0.8743333333333334,0.622,0.9933636363636364,0.7007809523809524,0.7429179388880863,0.710391810635636,0.8076818181818183,0.9624166666666668,0.1846002288746245,0.2873785615591757,0.0118680278439752,0.236577575165834,0.2218048838728768,0.2357955107265516,0.143670325155882,0.0282035821164364,102.01582467556
Adaboost,lvq_smote,sonar_10,0.786,0.657,0.9825454545454546,0.6869952380952381,0.7536776634024485,0.684677719290773,0.8197727272727272,0.9554166666666668,0.2324896345338961,0.310271011127387,0.0211993819430991,0.2316001634409264,0.2416769986381852,0.2397319765356211,0.1530099256748657,0.0286788513891766,124.77995784282685
