clf,imbl,dataset,precision,recall,specificity,fscore,gmean,mcc,balanced_acc,accuracy,std_precision,std_recall,std_specificity,std_fscore,std_gmean,std_mcc,std_balanced_acc,std_accuracy,time_exec
Random_forest,Lee,caesarian_50,0.8628425685425686,0.8077777777777777,0.7472,0.8268573246842597,0.7647157743035047,0.5612538257693677,0.7774888888888889,0.7861428571428571,0.089920539750778,0.1135099100403494,0.1873886293875266,0.0681060165539832,0.1013843031018408,0.1695987973401858,0.0915154760725288,0.0794397402496188,34.37614815235138
Random_forest,NRAS,caesarian_50,0.7793040293040294,0.8728888888888889,0.5319999999999999,0.817744270785077,0.6528590949771848,0.4474769039840841,0.7024444444444444,0.7511428571428571,0.0729780145486428,0.0979623478659428,0.1858830232012638,0.0575756463939618,0.1378435216167242,0.1864214590882754,0.0911242274729785,0.0753449906517307,17.527928233146667
Random_forest,NearMiss,caesarian_50,0.855046608946609,0.6724444444444445,0.7724,0.7373731349489863,0.7057895352950737,0.4474820152227483,0.7224222222222222,0.7081428571428572,0.1090076147562728,0.1692861524939154,0.1765343935018105,0.1169197383893005,0.1121362137845115,0.2181178051807259,0.1090121460407784,0.1142408203525175,22.7231320142746
Random_forest,ProWSyn,caesarian_50,0.8611555555555557,0.8175555555555556,0.74,0.8312825126541845,0.7638504703942209,0.5651161908177038,0.7787777777777778,0.7898571428571428,0.0883024492046057,0.110729420275068,0.1883490796083092,0.0648848509349613,0.1057872682437331,0.1713123889914553,0.0913702525965195,0.0780238180571358,23.841895031929017
Random_forest,RandomOverSampler,caesarian_50,0.8703434343434344,0.7931111111111111,0.7652,0.8217086367880487,0.7674377655115299,0.5615219150942488,0.7791555555555555,0.7831428571428571,0.0956156439836942,0.1194593836843342,0.1919723919816433,0.070592343465532,0.0999355860377486,0.170686135840201,0.0917254001759229,0.0806179131938125,17.440413904190063
Random_forest,RandomUnderSampler,caesarian_50,0.879266378066378,0.7095555555555555,0.8032,0.7749594930009791,0.743741982197762,0.5069571539014098,0.7563777777777778,0.743,0.0988582632245406,0.1045778206924392,0.177617834805227,0.0711962194803812,0.0877273478554387,0.1634449415741147,0.0858140191411986,0.0765305450611161,16.851481318473816
Random_forest,SMOTE,caesarian_50,0.8620631313131314,0.8035555555555556,0.744,0.8240566686323654,0.7603581889450516,0.5520815690202576,0.7737777777777778,0.7822857142857143,0.0964331318958462,0.114768588285787,0.2040143024269682,0.0688985192456152,0.1074432720126593,0.1722777979596496,0.0958332624061609,0.080481822587328,16.959263491630555
Random_forest,Smote_tomek,caesarian_50,0.8555266955266955,0.8088888888888889,0.732,0.8241091134699493,0.7562263429285216,0.5478870573655878,0.7704444444444445,0.7814285714285714,0.0877187458526618,0.1090444265599271,0.1828699334251249,0.0623437592177586,0.0981084275763195,0.1576487903570397,0.0860078688022224,0.0727777106896675,23.606197118759155
Random_forest,Tomek,caesarian_50,0.8541380230880231,0.8140000000000001,0.7264,0.8264527912919555,0.7557530460208747,0.5475441121818809,0.7701999999999999,0.7827142857142857,0.0921562908156662,0.1070898025217911,0.1988927055674879,0.064739780114651,0.1060782299091991,0.1691482871250077,0.0935702005229232,0.0776100553069212,22.213840007781982
Random_forest,kmeans_SMOTE,caesarian_50,0.8539146464646464,0.8293333333333333,0.7216,0.8339392279718906,0.7582224194022419,0.5637209802582444,0.7754666666666667,0.7908571428571429,0.0823201136832959,0.1130159750308812,0.1847339426674304,0.0642219267005174,0.1053299584139755,0.1617765607122807,0.0869577007992803,0.0753908487680925,27.971721601486205
Random_forest,lvq_smote,caesarian_50,0.8552407647907648,0.7744444444444445,0.7424,0.8045623364595501,0.7461009694300664,0.518036955980206,0.7584222222222222,0.763,0.0772143542773299,0.1031309861661878,0.1636432769171144,0.0575529695762869,0.0789732727974564,0.1307480666282291,0.0711254815872326,0.0622261122473936,27.49196813106537
Random_forest,polynom_fit_SMOTE,caesarian_50,0.8499129148629148,0.8540000000000001,0.7056,0.8456029313479778,0.7642172790251228,0.5789198683846788,0.7798,0.8009999999999999,0.0807511182780432,0.1041908223497322,0.1782621951937767,0.062151157597222,0.1002895142593918,0.1649137696038145,0.0878061777552579,0.0760317643951894,17.606065130233766
Random_forest,pure,caesarian_50,0.8473139971139971,0.8657777777777778,0.692,0.8495337805297558,0.7602846569446575,0.582727343564153,0.7788888888888889,0.8037142857142857,0.0788947520596445,0.1017323948314929,0.1822780851465873,0.0568982690698428,0.0983773225641782,0.1528702371163537,0.0831053314346758,0.0700423760753888,19.37020673751831
SVM,ADASYN,caesarian_50,0.7997180375180375,0.556,0.728,0.6383852046130685,0.611912123239559,0.2836258341142798,0.642,0.6174285714285714,0.1085497555880802,0.145414674796266,0.1813610449069961,0.1143253026731604,0.1041785910534559,0.1878580843239944,0.0939257733591212,0.0955331501209122,1.1865516662597655
SVM,AMSCO,caesarian_50,0.8438958968941112,0.4346666666666666,0.8348000000000001,0.5757666294420275,0.5416319387654365,0.2992731487859747,0.6347333333333334,0.5775714285714286,0.1262584210230136,0.1469981594404861,0.1631317431798505,0.1321490869637112,0.1247809618207238,0.1945531741570351,0.0912808710819339,0.0970994923740271,324.24559450149536
SVM,Borderline_smote,caesarian_50,0.8014391053391053,0.5731111111111111,0.7104,0.6496513636690107,0.6093146465917817,0.2831311432068072,0.6417555555555555,0.6221428571428571,0.1108234825678663,0.1137891038782649,0.196243194622936,0.0890114805733002,0.1037867586931,0.1846911408288074,0.0923389446059027,0.081225098511071,1.2698296308517456
SVM,EditedNearestNeighbours,caesarian_50,0.7510238095238095,0.3888888888888889,0.836,0.485527394174453,0.5075310182888917,0.2387697678607809,0.6124444444444445,0.5485714285714285,0.2339394762401835,0.1576736231950094,0.1989681855020456,0.1587154429536965,0.1566230338372225,0.2054772957765769,0.0982200640787117,0.0957720327914501,0.4405109643936155
SVM,Lee,caesarian_50,0.7884103896103897,0.5633333333333334,0.6988000000000001,0.6386541471428469,0.5993298579781409,0.2622082563278773,0.6310666666666667,0.6117142857142858,0.1177922547026765,0.1445201990152319,0.2110782002384131,0.1115083935381792,0.1147108327889652,0.2032749406140856,0.102247561510576,0.0944601986610283,10.382030773162844
